name,n_angles,angles_range,sampling_frecuency,aperture_width,element_width,pitch,image_depth,type,source,set,path,RF,IQ,n_samples,n_channels,zlims,center_frecuency
INS016,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS016.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS019,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS019.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS021,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/INS021.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
OSL007,75,"[-16, 16]",20.86672,38.100005,0.25,0.298,50.0,phantom,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/OSL007.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
OSL010,75,"[-16, 16]",20.8,38.1,0.25,0.3,50.0,simulation,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/OSL010.hdf5,1,1,1777,128,"[10e-3, 65e-3]",5.13
TSH002,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,CUBDL Task 1 Data,/mnt/g/memoria_data/data/CUBDL/1_CUBDL_Task1_Data/TSH002.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
JHU024,73,"[-8, 8]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU024.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU025,73,"[-8, 8]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU025.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU026,73,"[-8, 8]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU026.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU027,73,"[-8, 8]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU027.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU028,75,"[-16, 16]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU028.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU029,75,"[-16, 16]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU029.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU030,73,"[-8, 8]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU030.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU031,75,"[-16, 16]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU031.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU032,75,"[-16, 16]",40.0,25.6,0.11,0.2,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU032.hdf5,1,1,1558,128,"[0e-3, 30e-3]",12.5
JHU033,75,"[-16, 16]",40.0,38.4,0.24,0.3,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU033.hdf5,1,1,1558,128,"[0e-3, 30e-3]",5.5
JHU034,75,"[-16, 16]",40.0,38.4,0.24,0.3,30.0,in vivo,CUBDL,Post CUBDL JHU Breast Data,/mnt/g/memoria_data/data/CUBDL/2_Post_CUBDL_JHU_Breast_Data/JHU034.hdf5,1,1,1558,128,"[0e-3, 30e-3]",5.5
MYO006,75,"[-16, 16]",28.96,38.4,0.27,0.3,63.8,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/MYO006.hdf5,1,1,2688,128,"[5e-3, 55e-3]",6.25
UFL003,75,"[-15, 15]",78.125,31.36,0.215,0.245,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/UFL003.hdf5,1,1,4480,128,"[10e-3, 35e-3]",8.0
EUT001,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT001.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
EUT002,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT002.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
EUT004,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT004.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
EUT005,75,"[-16, 16]",12.5,20.3,0.25,0.254,100.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/EUT005.hdf5,1,1,1664,80,"[10e-3, 80e-3]",3.125
INS001,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS001.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS002,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS002.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS003,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS003.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS005,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS005.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS007,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS007.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS009,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS009.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS010,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS010.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS011,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS011.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS012,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS012.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS013,75,"[-16, 16]",20.833,37.846,0.25,0.298,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS013.hdf5,1,1,1536,128,"[10e-3, 55e-3]",5.208
INS014,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS014.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS017,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS017.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS018,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS018.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS020,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS020.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS022,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS022.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS023,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS023.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS024,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS024.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS025,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS025.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
INS026,75,"[-16, 16]",31.25,24.8,0.1703,0.1953,56.7,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/INS026.hdf5,1,1,1920,128,"[10e-3, 46e-3]",7.813
OSL002,75,"[-16, 16]",20.86672,38.1,0.25,0.298,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL002.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
OSL003,75,"[-16, 16]",20.86672,38.100001,0.25,0.298,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL003.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
OSL004,75,"[-16, 16]",20.86672,38.100002,0.25,0.298,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL004.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
OSL005,75,"[-16, 16]",20.86672,38.100003,0.25,0.298,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL005.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
OSL006,75,"[-16, 16]",20.86672,38.100004,0.25,0.298,50.0,phantom,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/OSL006.hdf5,1,1,1920,128,"[10e-3, 65e-3]",5.208333
TSH003,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH003.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH004,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH004.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH005,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH005.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH006,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH006.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH007,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH007.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH008,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH008.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH009,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH009.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH010,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH010.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH011,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH011.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH012,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH012.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH013,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH013.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH014,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH014.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH015,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH015.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH016,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH016.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH017,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH017.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH018,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH018.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH019,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH019.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH020,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH020.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH021,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH021.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH022,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH022.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH023,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH023.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH024,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH024.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH025,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH025.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH026,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH026.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH027,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH027.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH028,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH028.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH029,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH029.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH030,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH030.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH031,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH031.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH032,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH032.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH033,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH033.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH034,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH034.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH035,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH035.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH036,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH036.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH037,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH037.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH038,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH038.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH039,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH039.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH040,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH040.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH041,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH041.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH042,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH042.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
TSH043,31,"[-15, 15]",6.25,38.37,0.27,0.3,40.0,in vivo,CUBDL,Additional CUBDL Data,/mnt/g/memoria_data/data/CUBDL/3_Additional_CUBDL_Data/TSH/TSH043.hdf5,1,1,2048,128,"[10e-3, 45e-3]",7.5
